aplicativo,comentario,nota,classe_alvo
Delivery Much,rastreamento tempo real cliente quer saber exatamente onde pedido preparando saindo entrega chegando descrição detalhada fotos reais informar ingredientes evitar alergias restrições alimentares ex vegano glúten tamanhos porções política preços clara exibição separada valor item taxa entrega cupons aplicados atendimento suporte cliente resolução rápida problemas canais ágeis relatar itens faltando pedidos canais,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,lanche bem preparado saboroso refrigerante bem gelado,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,pior comida além funcionar direito deixa mão quase todas vezes usa recomendo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,tentei usar fica fechando sozinho,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,excelente alternativa ifood geralmente preços melhores recomendo todos,5,Elogio - Variedade e Praticidade
Delivery Much,ótimo aí começou cobrar taxa usar aba avaliação loja impossivel visualizar ifood visualizar,3,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,bom fácil mexer,5,Elogio - Usabilidade do App
Delivery Much,bem organizado fácil entender,5,Elogio - Usabilidade do App
Delivery Much,melhor mundo pedir comida 👏🏻,5,Elogio - Usabilidade do App
Delivery Much,si bom variedades fácil pedir problema entrega suporte devolução dinheiro encomendei paguei vários produtos loja associada entregaram produto consegui devolução dinheiro pois loja lançou entregue encomenda acabei perdendo dinheiro,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,entregadores rápidos atenciosos trava mostra todas promoções descontos dá descontos maravilhosos apenas baixem usem indico,5,Elogio - Usabilidade do App
Delivery Much,algumas lojas cupom dá usar pq aceita pix cupom posso usar pago entrega acho deveria ter opção tirar foto pedido próximos clientes sabe ia receber,4,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,ótimo encontrar variedades comida bebidassobremesa único lugar sair casa melhor qualquer hora,5,Elogio - Variedade e Praticidade
Delivery Much,opção cancelar pedido restaurante aí responde entrega pessoa fica esperando nada dinheiro volta posso pedir,1,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,melhorar relação cliente possibilidades parece caixa econômico estado rodando windows xp,1,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,família sempre pedetop,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,amo delivery much sempre atendendo bem,5,Elogio - Variedade e Praticidade
Delivery Much,taxas altas serviço poucas funcionalidades much assinado assim pagava quase reais taxa pedidos máximo reais cupons iam pagar frete taxa deveriam repensar questão plano pagar taxas diminuir porcentagem,3,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,ótimo várias opções loja,5,Elogio - Variedade e Praticidade
Delivery Much,prático preços acessíveis entrega sempre dentro prazo,5,Elogio - Variedade e Praticidade
Delivery Much,taxa pedido qualquer valor,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,bom melhorar inclusive tempo preparo passar tempo informação deveria cancelar automaticamente loja entrar contato dando satisfação atraso alguns pagando corrida vale pena comidas lanches etc bons outros posso dizer mesma coisa além vir comida ruim pouca preço realidade deveria ter opção bloquear restaurante bares etc facilitar cupom abrir some simplesmente some,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,ótimo fazer pedidos,5,Elogio - Usabilidade do App
Delivery Much,prefiro avaliar antes receber,4,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,maionese maravilhosa frango delicia,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,taxa custando média hahaha hilário partiu desinstalar ainda concursado gastar dinheiro assim,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,excelente célere descomplicado facilidade clientes,5,Elogio - Usabilidade do App
Delivery Much,desinstalando agora fiz pedido cancelaram mandaram reembolso reais jogado lixo respondem suporte nunca compro nisso irei espalhar pras pessoas comprar,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,ruim opção cancelar loja atrasar pedido horas nao opção nenhuma contato solucionar problema,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,bom poderia adicionar função cancelar pedido precisar ligar estacionamento muitos atendem,5,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,código verificação lixo min tentando descubro cidade,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,difícil contato suporte pedido atrasou pedem ligar loja loja atende aí volta fazer reclamação chat fica bugado primeira abre outro,3,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,gosto usar problemas reembolso pois automático nota,5,Elogio - Usabilidade do App
Delivery Much,tempo cá começou nao entregar pedido estabelecimento entrar contato direto estabelecimento questionar nada terem recebido pedido esperando horas melhorem,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,conseguindo atualizar endereço diz manutenção assim semanas conseguem concertar,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,bom preparo delícia recomendo,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,sempre peço lanches refeições uso delivery much praticidade segurança mim melhor satisfaz,4,Elogio - Variedade e Praticidade
Delivery Much,melhor pizza cidade,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,bom sushi pizza hambúrguer açaí contar fazer pix próprio pagar cartão dinheiro etc várias formas pagamento top contar entregadores gente boa recomendo falar cupons desconto vem próprio mostra lojas fechadas aberta quantos km loja residência top nota,5,Elogio - Usabilidade do App
Delivery Much,açaí delícia entregador mto educado,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,opção comprar cupons adicionais,3,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,decepcionado agora estao exigindo pagamento pix adiantado pedidos chegam plataforma vai permitir roubem cara dura,1,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,simples prático funciona bem demais,5,Elogio - Usabilidade do App
Delivery Much,apple bom pena alguns restaurantes nao deixa número contato atualizado,5,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,amando agilidade entrega,5,Elogio - Variedade e Praticidade
Delivery Much,rápido muitas opções além promoções incríveis,5,Elogio - Variedade e Praticidade
Delivery Much,bom funcional,5,Elogio - Variedade e Praticidade
Delivery Much,bom porém agora adicionando taxas adicionais,4,Elogio - Usabilidade do App
Delivery Much,atendimento excelente ótima refeição,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,mt maravilhoso mt opções restaurantes😍☺️,5,Elogio - Variedade e Praticidade
Delivery Much,fiz pedido chegou rapidinho precinho bem especial amando caçador sc,5,Elogio - Variedade e Praticidade
Delivery Much,cupom preço praticado piada mau gosto,1,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,bom porém ainda falta recursos poder falar loja diretamente pós aí fica melhor receber entrega,4,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,bom vários coercios verus bom,5,Elogio - Variedade e Praticidade
Delivery Much,excelente super recomendo experiencia bom obrigado,5,Elogio - Variedade e Praticidade
Delivery Much,útil bom,5,Elogio - Variedade e Praticidade
Delivery Much,burocrático cancelar assinatura pacote cupons,1,"Reclamação - Financeiro, Logística e Atendimento"
Delivery Much,dia inteiro tentando resolver problema pedido delivery agora nada péssimo,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,ótimosempre uso appe sempre deu certo obgd,5,Elogio - Variedade e Praticidade
Delivery Much,restaurantes nao atualizam status entrega restaurante recusa pedido nao avisa,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,fácil fazer pedidos grandes descontos,5,Elogio - Usabilidade do App
Delivery Much,ótimo ótimas restaurante excelentes promoções,5,Elogio - Variedade e Praticidade
Delivery Much,fácil acesso bem prático mexer fazer pedido,5,Elogio - Usabilidade do App
Delivery Much,tendo problemas adicionar novo endereço muitos dias sempre tento adicionar novo endereço aparece mensagem dizendo manutenção mudei antigo endereço agr consigo salvar novo endereço onde moro prfvr arrumem,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,melhor pede ai,5,Elogio - Elogios Gerais e Qualidade de Entregas
Delivery Much,dei estrelas porque recebo muitas notificações dias recebi tarde noite,4,Elogio - Variedade e Praticidade
Delivery Much,reais taxa pagar impostos próprio pagar colocam nois clientes pagar kjkk🤌🏻,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Delivery Much,excelente chegou antes horário,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,zé delivery nota,5,Elogio - Usabilidade do App
Zé Delivery,zé delivery ajuda bastante pena poucos produtos compra,5,Elogio - Usabilidade do App
Zé Delivery,possuí falha estratégica séria possível escolher alterar fornecedor morando capital sempre atendido local muitas vezes enviam produtos diferentes solicitado tampas zé compensa chegaram mandar produtos estragados além disso distante onde resido aparentemente feito forçar usuário pagar entrega premium caso deseje distribuidora próxima viável ligar distribuidora,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,fazem propaganda entrega grátis segunda sexta todas entregas grátis,4,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,zé delivery sempre arrasando preço bom bebida bem gelada qualidade entrega rápida top galáxia,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,sempre rápido cerveja gelada,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bom entrega super rápida,5,Elogio - Usabilidade do App
Zé Delivery,amei confiável amei,5,Elogio - Usabilidade do App
Zé Delivery,excelente bons preços entrega absolutamente rápida,5,Elogio - Variedade e Praticidade
Zé Delivery,entraga rapidinho gelada preço ótimo👍🏽,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,suporte horrível bloquearam conta dar explicação arrependimento ter utilizado serviço tanto tempo nunca,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,taxa conveniência ridículo,3,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,sentir falta opções produtos disponibilidade coisas simples gelo,4,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,is preço taxa entrega cara comprei nsonpoder sair casa muda pior preço ótimo pena vinho tinga acabou fretis grátis,2,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,funcionando região,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,cerveja nao bem gelada,3,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,péssima administração bloquearam acesso email fizesse nada errado deram motivo explicação fato,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,ótimo apenas alguns parceiros atrasam demais entrega,5,Elogio - Usabilidade do App
Zé Delivery,shom bola brasil rumo exa ze delibery dando shom,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,melhor delivery rápida entrega,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bom sinto melhorar vários aspectos gostei usar porém ainda favorito,4,Elogio - Usabilidade do App
Zé Delivery,comprei chegou rápido estando outro estado parabéns zé,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,lixo papo entrega grátis seg sex chegar valor mínimo vcs colocam barreira cliente gastar ter entrega grátis inadmissível,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,mal atendida entregador,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,ótima opção divertir sair casa,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,super prático rápido vale pena,5,Elogio - Variedade e Praticidade
Zé Delivery,super rápido motoboy super educado obrigado,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,eita aí sim bebida chegou trincado achei zé delivery lenda arrasou virei cliente obrigada,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,almoçar nota dez rápido entrega,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,bom adorei chegou rápido,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,cupom entrega gratis nao ta selecionando,2,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,mandar ir gmail buscar código login crashar troco simplesmente impossibilita use gestores produto sabem priorizar,1,"Reclamação - Bugs, Suporte e Usabilidade do App"
Zé Delivery,ate momento nota,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,propaganda enganosa troca camisa,1,"Reclamação - Financeiro, Logística e Atendimento"
Zé Delivery,variedade produtos entrega rápida profissionais,5,Elogio - Variedade e Praticidade
Zé Delivery,fácil usar entrega bem rápida,5,Elogio - Variedade e Praticidade
Zé Delivery,bom obrigado zé,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,show papai assim ficou fácil fazer pedido,5,Elogio - Variedade e Praticidade
Zé Delivery,faltando localização entregador,5,Elogio - Usabilidade do App
Zé Delivery,bebida gelada chega rapidinho,5,Elogio - Elogios Gerais e Qualidade de Entregas
Zé Delivery,toda vez vier rápido bem gelado vou ficar satisfeita,4,Elogio - Elogios Gerais e Qualidade de Entregas
